candidate,k,n_basis_truncated,n_basis_native,n_basis_actual,seed,sigma_final,sigma_fs_identity,residual_donaldson,iterations_run,elapsed_s
Schoen,3,25,27,25,2024,1.9386638479e1,2.2546097716e1,8.5721693420e-7,57,9.801844
Schoen,3,25,27,25,4242,4.0246246716e2,6.3359031008e2,7.6694401907e-4,13,3.717246
Schoen,3,25,27,25,57005,7.9379665563e1,2.2597206096e1,2.4620553088e-6,100,17.084887
Schoen,3,25,27,25,48879,3.7191632146e0,3.1540909129e0,6.4788520649e-7,19,3.419312
Schoen,3,25,27,25,51966,8.7492446168e0,4.1053645080e0,7.2654084882e-7,19,3.541524
Schoen,3,27,27,27,42,8.1946389844e0,2.0654051566e0,9.3564616021e-7,26,5.804600
Schoen,3,27,27,27,100,1.1444880274e1,3.3089474488e0,1.4033182226e-3,12,4.238262
Schoen,3,27,27,27,12345,2.1907053773e0,1.8579294668e0,5.4974359258e-7,20,4.361892
Schoen,3,27,27,27,7,3.7189944087e0,1.8419482425e0,9.6447591884e-7,82,17.313570
Schoen,3,27,27,27,99,6.6407380417e0,2.1326307884e0,9.6922328284e-7,29,6.268174
Schoen,3,27,27,27,1,3.2786173004e0,2.0409382133e0,7.5770054771e-7,22,4.873645
Schoen,3,27,27,27,2,4.6880802696e0,1.9588566027e0,5.3321740117e-7,20,4.457703
Schoen,3,27,27,27,3,3.6957216234e0,2.7164833020e0,8.0136840680e-7,27,5.797440
Schoen,3,27,27,27,4,4.2362452806e0,1.9950319145e0,5.8242153739e-7,22,4.949118
Schoen,3,27,27,27,5,4.3237560067e1,1.9516253300e1,7.6806810191e-5,20,6.563800
Schoen,3,27,27,27,137,2.6255106053e0,1.7164982364e0,6.2845589430e-7,22,4.899156
Schoen,3,27,27,27,271,5.1246189829e0,2.1933719657e0,7.6575574403e-7,41,8.957503
Schoen,3,27,27,27,314,1.2969097075e1,2.3404810959e0,9.3392440880e-7,86,17.920929
Schoen,3,27,27,27,666,8.3590805191e0,5.4640761481e0,9.2715227876e-7,26,5.599625
Schoen,3,27,27,27,1000,1.1070923663e1,2.0151155109e0,8.9518917273e-7,80,17.053872
Schoen,3,27,27,27,2024,5.6511291554e0,2.9641700192e0,9.7735893329e-7,76,16.047451
Schoen,3,27,27,27,4242,7.8744366786e0,5.5883682931e0,1.1388907303e-3,13,4.541583
Schoen,3,27,27,27,57005,7.2567598937e0,4.7699065838e0,7.8166216543e-5,100,21.245636
Schoen,3,27,27,27,48879,2.2349876022e0,1.7558555127e0,5.0357806417e-7,20,4.509489
Schoen,3,27,27,27,51966,8.5928767613e0,3.8355734304e0,5.6877237191e-7,18,4.071333
Schoen,3,-1,27,27,42,8.1946389844e0,2.0654051566e0,9.3564616021e-7,26,5.719148
Schoen,3,-1,27,27,100,1.1444880274e1,3.3089474488e0,1.4033182226e-3,12,4.110149
Schoen,3,-1,27,27,12345,2.1907053773e0,1.8579294668e0,5.4974359258e-7,20,4.497068
Schoen,3,-1,27,27,7,3.7189944087e0,1.8419482425e0,9.6447591884e-7,82,17.427098
Schoen,3,-1,27,27,99,6.6407380417e0,2.1326307884e0,9.6922328284e-7,29,6.314028
Schoen,3,-1,27,27,1,3.2786173004e0,2.0409382133e0,7.5770054771e-7,22,4.894265
Schoen,3,-1,27,27,2,4.6880802696e0,1.9588566027e0,5.3321740117e-7,20,4.476096
Schoen,3,-1,27,27,3,3.6957216234e0,2.7164833020e0,8.0136840680e-7,27,5.954879
Schoen,3,-1,27,27,4,4.2362452806e0,1.9950319145e0,5.8242153739e-7,22,4.890197
Schoen,3,-1,27,27,5,4.3237560067e1,1.9516253300e1,7.6806810191e-5,20,6.400379
Schoen,3,-1,27,27,137,2.6255106053e0,1.7164982364e0,6.2845589430e-7,22,4.923917
Schoen,3,-1,27,27,271,5.1246189829e0,2.1933719657e0,7.6575574403e-7,41,8.940568
Schoen,3,-1,27,27,314,1.2969097075e1,2.3404810959e0,9.3392440880e-7,86,18.406908
Schoen,3,-1,27,27,666,8.3590805191e0,5.4640761481e0,9.2715227876e-7,26,5.705669
Schoen,3,-1,27,27,1000,1.1070923663e1,2.0151155109e0,8.9518917273e-7,80,16.855609
Schoen,3,-1,27,27,2024,5.6511291554e0,2.9641700192e0,9.7735893329e-7,76,16.120184
Schoen,3,-1,27,27,4242,7.8744366786e0,5.5883682931e0,1.1388907303e-3,13,4.521486
Schoen,3,-1,27,27,57005,7.2567598937e0,4.7699065838e0,7.8166216543e-5,100,22.121197
Schoen,3,-1,27,27,48879,2.2349876022e0,1.7558555127e0,5.0357806417e-7,20,4.496032
Schoen,3,-1,27,27,51966,8.5928767613e0,3.8355734304e0,5.6877237191e-7,18,3.807784
TY,2,-1,28,28,42,3.5081907441e-1,3.0823224082e-1,4.1195786820e-7,13,2.612792
TY,2,-1,28,28,100,3.4539767694e-1,3.0845451331e-1,5.5117565074e-7,12,2.270430
TY,2,-1,28,28,12345,3.4908228920e-1,3.1113497651e-1,4.7766034633e-7,12,2.441885
TY,2,-1,28,28,7,3.3644925362e-1,3.0157807750e-1,7.5926678606e-7,13,2.592481
TY,2,-1,28,28,99,3.4391831118e-1,3.0373210166e-1,4.3170215451e-7,13,2.859785
TY,2,-1,28,28,1,3.3676098701e-1,3.0188597376e-1,6.4521785310e-7,13,2.448197
TY,2,-1,28,28,2,3.3356334835e-1,2.9851239055e-1,6.0988511272e-7,12,2.367698
TY,2,-1,28,28,3,3.5353366583e-1,3.1080924765e-1,5.0202978146e-7,13,2.449972
TY,2,-1,28,28,4,3.3731164884e-1,3.0366861350e-1,6.5416932118e-7,12,2.324885
TY,2,-1,28,28,5,3.4470778027e-1,3.0762262893e-1,4.3996622257e-7,13,2.449935
TY,2,-1,28,28,137,3.6642163320e-1,3.1507595830e-1,9.0701030693e-7,13,2.524304
TY,2,-1,28,28,271,3.5221523398e-1,3.0307234664e-1,5.0308190613e-7,13,2.449349
TY,2,-1,28,28,314,3.4256472024e-1,3.0284549217e-1,5.3290603145e-7,13,2.683154
TY,2,-1,28,28,666,3.3383368843e-1,3.0555659828e-1,4.0494223251e-7,13,2.583788
TY,2,-1,28,28,1000,3.4767304203e-1,3.0577800347e-1,7.0450861900e-7,13,2.635767
TY,2,-1,28,28,2024,3.3700094495e-1,3.0094606882e-1,6.6335088435e-7,13,2.551528
